price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
640,41.3733766,2.1279336,47,1,1,1,0,1, sur,0,1,0,1,Unknown,Sants - Badal,3.85860336,0,piso,0,0.249135454,35 - 71,0 - 5,11.5 - 15,2.127659574468085,2.127659574468085
890,41.3790682,2.1752663,65,1,2,0,0,1,Unknown,0,0,0,0,Unknown,El Raval,1.078938109,0,piso,0,0.283429212,Unknown,0 - 5,+15,1.5384615384615385,3.076923076923077
700,41.3895728,2.1539455,60,3,1,1,0,1,Unknown,0,0,0,0,Unknown,L'Antiga Esquerra de l'Eixample,1.345981694,0,piso,0,0.262028237,Unknown,5 - 10,+15,5.0,1.6666666666666667
785,41.4314425,2.1745797,51,3,1,0,1,1, sur,0,1,0,1,Unknown,Nou Barris,4.85879965,0,piso,0,0.195434015,Unknown,0 - 5,11.5 - 15,5.882352941176471,1.9607843137254901
750,41.4182696,2.1847765,60,3,1,0,0,1,Unknown,0,1,0,0,Unknown,Navas,3.598229404,0,piso,0,0.299755212,Unknown,0 - 5,11.5 - 15,5.0,1.6666666666666667
850,41.3887068,2.1676874,42,1,1,0,0,1,Unknown,0,1,0,1,Unknown,La Dreta de l'Eixample,0.206796245,0,piso,0,0.158179606,Unknown,0 - 5,+15,2.380952380952381,2.380952380952381
700,41.3809515,2.1890304,35,1,1,1,0,1,Unknown,0,0,0,1,electric,La Barceloneta,1.772258624,0,piso,0,0.366842065,Unknown,0 - 5,+15,2.857142857142857,2.857142857142857
715,41.4238512,2.1747853,50,2,1,0,1,1,Unknown,0,1,0,1,Unknown,El Guinardó,4.019393309,0,piso,0,0.221305931,Unknown,Unknown,11.5 - 15,4.0,2.0
1300,41.3892384,2.154525,85,2,2,1,1,1,Unknown,0,1,0,1,individual,L'Antiga Esquerra de l'Eixample,1.293300234,0,piso,0,0.29582883,Unknown,0 - 5,+15,2.3529411764705883,2.3529411764705883
950,41.3794989,2.1780315,60,2,1,0,0,1,Unknown,0,1,0,1,Unknown,El Gòtic,1.153890954,0,piso,0,0.384100593,Unknown,0 - 5,11.5 - 15,3.3333333333333335,1.6666666666666667
725,41.3873388,2.1793804,45,0,1,1,0,1,Unknown,0,0,0,0,electric,Sant Pere - Santa Caterina i la Ribera,0.79194021,0,estudio,0,0.364284188,+111,0 - 5,+15,0.0,2.2222222222222223
800,41.43713,2.1645097,67,3,1,1,0,1,Unknown,0,0,0,1,electric,Horta,5.494412138,0,piso,0,0.537605024,35 - 71,0 - 5,11.5 - 15,4.477611940298507,1.492537313432836
725,41.3805909,2.1651197,45,1,1,1,0,1, sur,0,0,0,0,electric,El Raval,0.906333334,0,piso,0,0.178020295,71 - 111,0 - 5,+15,2.2222222222222223,2.2222222222222223
700,41.380956,2.189026,35,1,1,1,0,1,Unknown,0,0,0,1,Unknown,La Barceloneta,1.771709872,0,piso,0,0.366357289,Unknown,0 - 5,+15,2.857142857142857,2.857142857142857
750,41.401969,2.1501602,47,1,1,0,0,1, norte,0,1,0,0,electric,El Putxet i el Farró,2.273185172,0,piso,0,0.238844139,35 - 71,0 - 5,11.5 - 15,2.127659574468085,2.127659574468085
700,41.4165968,2.1758466,90,3,1,0,0,1,Unknown,0,0,0,0,Unknown,El Guinardó,3.23001246,0,piso,0,0.170266559,Unknown,0 - 5,11.5 - 15,3.3333333333333335,1.1111111111111112
800,41.3823157,2.1363826,52,2,1,1,0,1, este,0,1,0,0,Unknown,Les Corts,2.866921178,0,piso,0,0.060448953,35 - 71,0 - 5,11.5 - 15,3.8461538461538463,1.9230769230769231
880,41.4029276,2.1378222,50,1,1,0,0,1, este,0,1,0,1,electric,Sant Gervasi - La Bonanova,3.157063223,0,piso,0,1.09549752,Unknown,0 - 5,+15,2.0,2.0
875,41.3998389,2.1581817,47,1,1,0,1,1, sur,1,0,0,1,Unknown,Vila de Gràcia,1.650106817,0,atico,0,0.493507358,Unknown,0 - 5,+15,2.127659574468085,2.127659574468085
760,41.399969,2.1489602,33,1,1,0,0,1, norte,0,1,0,0,Unknown,Sarrià-Sant Gervasi,2.204747513,0,piso,0,0.407863803,Unknown,0 - 5,+15,3.0303030303030303,3.0303030303030303
800,41.394654,2.1477272,67,3,1,1,0,0,Unknown,0,1,0,1,Unknown,Sant Gervasi - Galvany,1.998474421,0,piso,0,0.728429918,Unknown,0 - 5,+15,4.477611940298507,1.492537313432836
850,41.3848753,2.1803809,55,1,1,1,0,1,Unknown,0,1,0,0,Unknown,Sant Pere - Santa Caterina i la Ribera,0.935570862,0,piso,0,0.175394615,Unknown,0 - 5,+15,1.8181818181818181,1.8181818181818181
900,41.3977116,2.1855024,81,4,2,0,0,1,Unknown,0,1,0,0,Unknown,El Fort Pienc,1.69755636,0,piso,0,0.333100302,Unknown,0 - 5,11.5 - 15,4.938271604938271,2.4691358024691357
900,41.3888238,2.1831184,65,3,1,1,0,1,Unknown,0,1,0,1,Unknown,Sant Pere - Santa Caterina i la Ribera,1.106184889,0,piso,0,0.423383046,Unknown,5 - 10,+15,4.615384615384615,1.5384615384615385
1100,41.4373369,2.1546371,58,3,1,1,1,1, sur,0,1,0,0,gas,Horta Guinardó,5.644710083,0,piso,0,0.200717215,Unknown,Unknown,11.5 - 15,5.172413793103448,1.7241379310344827
780,41.41286,2.1628653,78,3,1,0,1,1, sur,0,1,0,0,Unknown,Can Baró,2.838005837,0,piso,0,0.30818715,Unknown,0 - 5,11.5 - 15,3.8461538461538463,1.2820512820512822
1200,41.3872575,2.1419441,80,1,1,0,0,1, sur,0,1,0,1,bomba,Les Corts,2.335701259,0,piso,0,0.436328117,35 - 71,0 - 5,11.5 - 15,1.25,1.25
