price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
73000,41.4241641,2.1538746,37,0,1,0,0,0, este,0,0,0,0,Unknown,Horta Guinardó,4.249968494,0,estudio,0,0.110851518,40 - 70,Unknown,0 - 2337,0.0,2.7027027027027026
645000,41.3870921,2.1658227,120,3,3,1,0,0, sur,0,1,0,1,Unknown,Ciutat Vella,0.353534355,0,piso,0,0.222862917,Unknown,Unknown,3371 - 5042,2.5,2.5
310000,41.3732684,2.1690754,96,3,2,1,0,1, oeste,0,1,0,0,Unknown,El Poble Sec - Parc de Montjuïc,1.628996267,0,piso,0,0.1460796,40 - 70,0 - 4,3371 - 5042,3.125,2.0833333333333335
310000,41.421151,2.2010454,150,3,2,1,0,1, este,0,1,0,0,gas,Sant Martí,4.519079517,1,piso,0,0.233722086,40 - 70,0 - 4,0 - 2337,2.0,1.3333333333333333
300000,41.4086919,2.1643385,75,3,1,1,0,1, este,0,1,0,1,individual,El Camp d'En Grassot i Gràcia Nova,2.35910284,0,piso,0,0.268515619,Unknown,0 - 4,3371 - 5042,4.0,1.3333333333333333
104000,41.4523289,2.1919824,65,3,1,1,0,1,Unknown,0,0,0,0,Unknown,La Trinitat Vella,7.398908854,0,piso,0,0.40573779,40 - 70,0 - 4,0 - 2337,4.615384615384615,1.5384615384615385
120000,41.3781696,2.1670707,30,1,1,0,0,1,Unknown,0,1,0,0,Unknown,Ciutat Vella,1.108125413,0,piso,0,0.369301621,+150,Unknown,3371 - 5042,3.3333333333333335,3.3333333333333335
280000,41.3755551,2.1297272,76,3,2,0,1,1, sur,0,1,0,1,Unknown,Sants,3.624580257,0,piso,0,0.194086731,40 - 70,0 - 4,2337 - 3371,3.9473684210526314,2.6315789473684212
720000,41.4076663,2.1388275,130,4,2,0,0,1, norte,1,1,0,1,Unknown,Sarrià-Sant Gervasi,3.400610952,1,piso,0,0.664040669,40 - 70,0 - 4,+5042,3.076923076923077,1.5384615384615385
101000,41.4516797,2.1885586,62,3,1,0,0,0,Unknown,0,0,0,0,Unknown,La Trinitat Vella,7.262550021,0,piso,0,0.310566185,40 - 70,Unknown,0 - 2337,4.838709677419355,1.6129032258064515
390000,41.3924784,2.1892197,102,4,2,1,1,0, este,0,1,0,0,gas,Sant Martí,1.689105474,0,piso,0,0.373926916,40 - 70,Unknown,0 - 2337,3.9215686274509802,1.9607843137254901
169000,41.3883331,2.1824833,45,2,1,1,0,1,Unknown,0,0,0,0,Unknown,Sant Pere - Santa Caterina i la Ribera,1.049513369,0,piso,0,0.458708545,Unknown,0 - 4,3371 - 5042,4.444444444444445,2.2222222222222223
135000,41.3919768,2.1253102,40,0,1,0,0,0, norte,0,1,0,1,Unknown,Pedralbes,3.750099957,0,estudio,0,0.464576733,40 - 70,Unknown,+5042,0.0,2.5
128000,41.4355528,2.2023361,57,3,1,1,0,0, este,0,0,0,0,Unknown,Sant Andreu,5.950357305,0,piso,0,0.251496819,40 - 70,0 - 4,0 - 2337,5.2631578947368425,1.7543859649122806
759000,41.3980242,2.1425225,128,3,2,0,0,1, norte,0,1,0,1,electric,Sarrià-Sant Gervasi,2.548453411,0,piso,0,0.981794215,40 - 70,0 - 4,+5042,2.34375,1.5625
2300000,41.3921219,2.1605757,315,5,3,0,1,1,Unknown,0,1,0,1,individual,Eixample,0.910246864,0,piso,0,0.395542457,70 - 120,0 - 4,+5042,1.5873015873015872,0.9523809523809523
219000,41.4386004,2.172246,70,3,1,1,0,1, oeste,0,1,0,0,Unknown,La Guineueta,5.642733949,0,piso,0,0.201675169,40 - 70,5 - 11,2337 - 3371,4.285714285714286,1.4285714285714286
177000,41.4432152,2.1762693,82,3,1,0,0,1, este,0,0,0,1,gas,Nou Barris,6.175453503,0,piso,0,0.198600758,Unknown,0 - 4,0 - 2337,3.658536585365854,1.2195121951219512
238000,41.4323977,2.1935058,75,3,1,1,0,1, norte,0,1,0,1,gas,Sant Andreu,5.3262174,0,piso,0,0.309364591,40 - 70,0 - 4,0 - 2337,4.0,1.3333333333333333
299000,41.4239512,2.1715047,90,4,1,0,1,1,Unknown,0,0,0,1,Unknown,Horta Guinardó,4.012147775,0,piso,0,0.493148475,40 - 70,0 - 4,0 - 2337,4.444444444444445,1.1111111111111112
135000,41.4470742,2.1796182,64,2,1,0,0,1,Unknown,0,0,0,0,Unknown,Les Roquetes,6.631461748,0,piso,0,0.300898995,Unknown,0 - 4,0 - 2337,3.125,1.5625
134000,41.3857343,2.1823292,24,0,1,1,1,1, oeste,1,0,0,0,gas,Sant Pere - Santa Caterina i la Ribera,1.063216709,0,atico,0,0.363922773,120 - 150,5 - 11,3371 - 5042,0.0,4.166666666666667
120000,41.4435231,2.1736698,51,3,1,0,0,0,Unknown,0,0,0,0,Unknown,Les Roquetes,6.194849755,0,piso,0,0.407553193,40 - 70,Unknown,0 - 2337,5.882352941176471,1.9607843137254901
150000,41.4140705,2.1504586,54,3,1,0,0,1, sur,0,0,0,0,Unknown,Vallcarca i els Penitents,3.333178549,0,piso,0,0.561309709,Unknown,Unknown,3371 - 5042,5.555555555555555,1.8518518518518519
375000,41.3818137,2.1777851,120,3,2,1,1,1, norte,0,0,0,1,electric,El Gòtic,0.942935852,0,piso,0,0.264661668,+150,0 - 4,3371 - 5042,2.5,1.6666666666666667
275000,41.3688998,2.135345,90,4,1,1,0,1,Unknown,0,0,0,0,Unknown,Sants-Montjuïc,3.576836634,0,piso,0,0.480703241,Unknown,0 - 4,2337 - 3371,4.444444444444445,1.1111111111111112
275000,41.4101116,2.1731302,79,3,2,0,0,0,Unknown,0,1,0,1,gas,La Sagrada Família,2.485069262,0,piso,0,0.251097207,70 - 120,0 - 4,3371 - 5042,3.7974683544303796,2.5316455696202533
320000,41.3764937,2.1223812,68,3,1,0,1,1, oeste,1,1,0,0,Unknown,Sants-Montjuïc,4.165392672,0,atico,0,0.329926726,40 - 70,5 - 11,2337 - 3371,4.411764705882353,1.4705882352941178
339000,41.4078841,2.1550744,146,3,2,0,0,1, oeste,0,1,0,0,Unknown,Vila de Gràcia,2.544659093,0,piso,0,0.456718757,40 - 70,Unknown,3371 - 5042,2.0547945205479454,1.36986301369863
135000,41.4377456,2.2049576,77,3,1,0,0,1,Unknown,0,0,0,1,individual,El Bon Pastor,6.267541467,0,piso,0,0.177636746,40 - 70,0 - 4,0 - 2337,3.896103896103896,1.2987012987012987
2200000,41.3926767,2.1384766,330,5,5,0,1,1,Unknown,0,1,0,1,Unknown,Sarrià-Sant Gervasi,2.677116334,0,piso,0,1.090461761,40 - 70,Unknown,+5042,1.5151515151515151,1.5151515151515151
139900,41.4309732,2.1761877,50,3,1,0,0,1,Unknown,0,1,0,0,Unknown,Porta,4.819471958,0,piso,0,0.176777235,40 - 70,Unknown,2337 - 3371,6.0,2.0
725000,41.3915199,2.1450314,140,3,2,1,0,1,Unknown,0,1,0,1,individual,L'Antiga Esquerra de l'Eixample,2.115571567,1,piso,0,0.599812432,40 - 70,5 - 11,3371 - 5042,2.142857142857143,1.4285714285714286
150000,41.4245499,2.1836277,50,3,1,0,1,0, sur,0,0,0,0,Unknown,La Sagrera,4.233929005,0,piso,0,0.238104473,Unknown,Unknown,2337 - 3371,6.0,2.0
82000,41.4457679,2.1707707,53,2,1,1,0,1, sur,0,0,0,0,Unknown,Nou Barris,6.437027995,0,piso,0,0.491938922,40 - 70,0 - 4,0 - 2337,3.7735849056603774,1.8867924528301887
125000,41.3821453,2.1634773,50,1,1,1,0,1,Unknown,0,0,0,1,bomba,El Raval,0.835947648,0,piso,0,0.257968674,+150,0 - 4,2337 - 3371,2.0,2.0
133000,41.4242789,2.2079248,76,3,1,0,0,1,Unknown,0,1,0,0,gas,Sant Martí,5.140657146,0,piso,0,0.205440671,40 - 70,Unknown,0 - 2337,3.9473684210526314,1.3157894736842106
210000,41.3794796,2.1802193,71,1,1,0,1,0,Unknown,1,0,0,0,gas,El Gòtic,1.271227466,0,piso,0,0.461042075,Unknown,Unknown,3371 - 5042,1.408450704225352,1.408450704225352
366000,41.3821125,2.1766965,92,2,2,1,1,1, norte,0,0,0,1,Unknown,El Gòtic,0.856868786,0,piso,0,0.271337511,70 - 120,0 - 4,3371 - 5042,2.1739130434782608,2.1739130434782608
